"Apple","Ultrabook","13.3","2560","1600","0","Intel","Core i5","5.0","8","128GB SSD","SSD","128","0","Intel","macos","1.37kg","71379"
"Apple","Ultrabook","13.3","1440","900","0","Intel","Core i5","5.0","8","128GB Flash Storage","Flash Storage","128","0","Intel","macos","1.34kg","47896"
"HP","Notebook","15.6","1920","1080","0","Intel","Core i5","5.0","8","256GB SSD","SSD","256","0","Intel","N/A","1.86kg","30636"
"Apple","Ultrabook","15.4","2880","1800","0","Intel","Core i7","7.0","16","512GB SSD","SSD","512","0","AMD","macos","1.83kg","135195"
"Apple","Ultrabook","13.3","2560","1600","0","Intel","Core i5","5.0","8","256GB SSD","SSD","256","0","Intel","macos","1.37kg","96096"
"Acer","Notebook","15.6","1366","768","0","AMD","A9-Series 9420","9.0","4","500GB HDD","HDD","500","0","AMD","windows","2.1kg","21312"
"Apple","Ultrabook","15.4","2880","1800","0","Intel","Core i7","7.0","16","256GB Flash Storage","Flash Storage","256","0","Intel","macos","2.04kg","114018"
"Apple","Ultrabook","13.3","1440","900","0","Intel","Core i5","5.0","8","256GB Flash Storage","Flash Storage","256","0","Intel","macos","1.34kg","61736"
"Asus","Ultrabook","14.0","1920","1080","0","Intel","Core i7","7.0","16","512GB SSD","SSD","512","0","Nvidia","windows","1.3kg","79654"
"Acer","Ultrabook","14.0","1920","1080","0","Intel","Core i5","5.0","8","256GB SSD","SSD","256","0","Intel","windows","1.6kg","41026"
"HP","Notebook","15.6","1366","768","0","Intel","Core i5","5.0","4","500GB HDD","HDD","500","0","Intel","N/A","1.86kg","20987"
"HP","Notebook","15.6","1920","1080","0","Intel","Core i3","3.0","4","500GB HDD","HDD","500","0","Intel","N/A","1.86kg","18381"
"Apple","Ultrabook","15.4","2880","1800","0","Intel","Core i7","7.0","16","256GB SSD","SSD","256","0","AMD","macos","1.83kg","130002"
"Dell","Notebook","15.6","1920","1080","0","Intel","Core i3","3.0","4","256GB SSD","SSD","256","0","AMD","windows","2.2kg","26581"
"Apple","Ultrabook","12.0","2304","1440","0","Intel","Core M","3.0","8","256GB SSD","SSD","256","0","Intel","macos","0.92kg","67261"
"Apple","Ultrabook","13.3","2560","1600","0","Intel","Core i5","5.0","8","256GB SSD","SSD","256","0","Intel","macos","1.37kg","80908"
"Dell","Notebook","15.6","1920","1080","0","Intel","Core i7","7.0","8","256GB SSD","SSD","256","0","AMD","windows","2.2kg","39694"
"Apple","Ultrabook","15.4","2880","1800","0","Intel","Core i7","7.0","16","512GB SSD","SSD","512","0","AMD","macos","1.83kg","152274"
"Lenovo","Notebook","15.6","1920","1080","0","Intel","Core i3","3.0","8","1TB HDD","HDD","1024","0","Nvidia","N/A","2.2kg","26587"
"Dell","Ultrabook","13.3","1920","1080","1","Intel","Core i5","5.0","8","128GB SSD","SSD","128","0","Intel","windows","1.22kg","52161"
"Lenovo","Gaming","15.6","1920","1080","0","Intel","Core i5","5.0","8","128GB SSD +  1TB HDD","Hybrid","128","1024","Nvidia","windows","2.5kg","53227"
